word,back,tags
明白,<b>Reading:</b> めいはく<br><br><b>Meanings:</b><br>1. (adjectival nouns or quasi-adjectives (keiyodoshi)) obvious; clear; plain; evident; apparent; explicit; overt<br><br><b>Examples:</b><br>1. 何をしなければならないかは明白です。<br>→ It is clear what must be done.,N4 common kanji
明かん,"<b>Reading:</b> あかん, アカン, あかーん<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) useless; no good; hopeless [commonly used with i-adjective inflections, e.g. あかんかった, あかんくない] <i>(word usually written using kana alone)</i><br>2. (expressions (phrases, clauses, etc.)) cannot; must not; not allowed <i>(word usually written using kana alone)</i>",N4 kanji
いじり回す,<b>Reading:</b> いじりまわす<br><br><b>Meanings:</b><br>1. (Godan verb with 'su' ending; transitive verb) to tinker with; to fumble with; to fiddle with; to twiddle<br><br><b>Examples:</b><br>1. 帽子を弄り回すのはやめなさい。<br>→ Please stop playing with your hat.,N4 kanji
鱝,"<b>Reading:</b> えい, エイ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) ray (any fish of superorder Batoidea) <i>(word usually written using kana alone)</i>",N4 kanji
お七夜,<b>Reading:</b> おしちや<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) name-giving ceremony,N4 kanji
お大事に,"<b>Reading:</b> おだいじに<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) take care of yourself; get well soon<br><br><b>Examples:</b><br>1. くれぐれもお体をお大事に。<br>→ Please take good care of yourself.",N4 common kanji
かも知れない,"<b>Reading:</b> かもしれない<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) may; might; perhaps; may be; possibly <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. あなたの言うことは正しいかもしれない。<br>→ You could be right, I suppose.",N4 common kanji
かも知れません,"<b>Reading:</b> かもしれません<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) may; might; perhaps; may be; possibly <i>(word usually written using kana alone; polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. 旅行でこのガイドブックが役に立つかもしれませんよ。<br>→ This guidebook might be of use to you on your trip.",N4 common kanji
か弱い,<b>Reading:</b> かよわい<br><br><b>Meanings:</b><br>1. (adjective (keiyoushi)) weak; feeble; delicate; frail; helpless<br><br><b>Examples:</b><br>1. 彼女の子どもはか弱かった。<br>→ Her child was in delicate health.,N4 common kanji
がっちり屋,<b>Reading:</b> がっちりや<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) tightwad; miser,N4 kanji
