word,back,tags
あっという間に,"<b>Reading:</b> あっというまに<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); adverb (fukushi)) in an instant; in a flash; in the blink of an eye; in no time at all; just like that<br><br><b>Examples:</b><br>1. 休暇はあっという間に終わった。<br>→ The holiday ended all too soon.",N5 common kanji
行けない,"<b>Reading:</b> いけない<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) bad; wrong; naughty<br>2. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) must not (do, be); should not; ought not to [after the -te form of a verb or adjective]<br>3. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) useless; no good; bad<br>4. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) hopeless; beyond hope<br>5. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) unfortunate; a shame; a pity [used to express sympathy]<br>6. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) unable to drink (alcohol)<br>7. (expressions (phrases, clauses, etc.); adjective (keiyoushi)) so as not to ...; so that ... (won't); in case ...; for fear that ...; lest ... [as ...(すると|しては)いけない(から|ので)]<br><br><b>Examples:</b><br>1. このフロッピーをフォーマットしてはいけません。<br>→ You mustn't format this floppy disk.<br><br>1. 彼本人は好人物なんだが、その取り巻きがどうもいけないね。<br>→ I really like him, but not his circle of friends.",N5 common kanji
何時もより,<b>Reading:</b> いつもより<br><br><b>Meanings:</b><br>1. (adverb (fukushi)) more than usual <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. わたしはいつもより遅く床に就いた。<br>→ I went to bed later than usual.,N5 kanji
お上りさん,"<b>Reading:</b> おのぼりさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) countryside people (in town); visitor from the country; out-of-towner; country bumpkin (visiting the big city); yokel <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. すこし落ち着け吉祥、おのぼりさん丸出しだぞ。<br>→ Calm down a little, Kissho, your bumpkin nature is standing out!",N5 kanji
お先に,"<b>Reading:</b> おさきに<br><br><b>Meanings:</b><br>1. (adverb (fukushi)) before; previously <i>(polite (teineigo) language)</i><br>2. (adverb (fukushi)) ahead <i>(polite (teineigo) language)</i><br>3. (expressions (phrases, clauses, etc.)) pardon me for leaving (before you) <i>(abbreviation; polite (teineigo) language)</i><br><br><b>Examples:</b><br>1. お先にどうぞ。<br>→ After you.<br><br>1. どうぞ、お先に！<br>→ Go ahead!",N5 common kanji
上さん,"<b>Reading:</b> かみさん, カミさん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) (one's) wife <i>(word usually written using kana alone)</i><br>2. (noun (common) (futsuumeishi)) (someone's) wife<br>3. (noun (common) (futsuumeishi)) landlady<br><br><b>Examples:</b><br>1. うちのかみさんは元プロレスラーで、だからもし私が浮気をしているところを見つかりでもしようものなら、それこそコテンパンにやられてしまうよ。<br>→ My wife used to be a pro-wrestler, so if she ever catches me two-timing her, I'd be beaten to a pulp.<br><br>1. あの詐欺師と金髪のコールガールは下宿のおかみさんを怒らせるには申分のない取り合わせだ。<br>→ The confidence man and his blonde call girl make a perfect match in enraging his landlady.",N5 kanji
からと言って,"<b>Reading:</b> からといって<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) just because; even if; even though <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 他人が悪い事をしているからといって自分もそうしてよいということにはならない。<br>→ Two wrongs don't make a right.",N5 kanji
梔子,"<b>Reading:</b> くちなし, クチナシ, しし, さんしし<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) Cape jasmine (Gardenia jasminoides); Cape jessamine; gardenia <i>(word usually written using kana alone)</i>",N5 kanji
こう言う,"<b>Reading:</b> こういう, こうゆう, こーゆー, こーいう<br><br><b>Meanings:</b><br>1. (pre-noun adjectival (rentaishi)) such; this sort of; like this <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. こういうチェックポイントを注意すると、いいですね。<br>→ You'd better check these points.",N5 common kanji
此間,<b>Reading:</b> こないだ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); adverb (fukushi)) the other day; lately; recently <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. こないだ、カメラをなくしてしまった。<br>→ I lost my camera the other day.,N5 kanji
この外,<b>Reading:</b> このほか<br><br><b>Meanings:</b><br>1. (conjunction) besides; moreover; in addition <i>(word usually written using kana alone)</i>,N5 common kanji
この間,"<b>Reading:</b> このあいだ, このかん<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi); adverb (fukushi)) the other day; lately; recently; during this period<br>2. (noun (common) (futsuumeishi); adverb (fukushi)) meanwhile; in the meantime<br><br><b>Examples:</b><br>1. この間の台風で、時速２００キロの風が吹きました。<br>→ In the last typhoon, the wind blew at over 200 kilometers per hour!",N5 common kanji
ゴミ入れ,"<b>Reading:</b> ゴミいれ, ごみいれ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) trashcan; rubbish bin; dustbin; ashcan",N5 kanji
させ子,<b>Reading:</b> させこ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) easy girl; floozy <i>(colloquial)</i>,N5 kanji
さらけ出す,<b>Reading:</b> さらけだす<br><br><b>Meanings:</b><br>1. (Godan verb with 'su' ending; transitive verb) to expose; to disclose; to lay bare; to confess<br><br><b>Examples:</b><br>1. 彼はすぐに無知をさらけ出した。<br>→ He soon betrayed his ignorance.,N5 kanji
白口,"<b>Reading:</b> しろぐち, シログチ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) silver white croaker (Pennahia argentata); silver croaker; white croaker <i>(word usually written using kana alone)</i>",N5 kanji
じっと見る,"<b>Reading:</b> じっとみる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Ichidan verb) to watch steadily; to stare<br><br><b>Examples:</b><br>1. 私は彼が通りを横切るのをじっと見ていた。<br>→ I watched him cross the street.",N5 kanji
じろじろ見る,"<b>Reading:</b> じろじろみる, ジロジロみる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Ichidan verb) to stare at; to look hard at; to look up and down; to scrutinize; to scrutinise<br><br><b>Examples:</b><br>1. 他人の顔をじろじろ見るんじゃない。<br>→ Don't stare others in the face.",N5 kanji
ずばずば言う,"<b>Reading:</b> ずばずばいう<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Godan verb with 'u' ending) to speak one's mind; to speak very frankly<br><br><b>Examples:</b><br>1. 彼は何でもずばずば言う人だ。<br>→ He is the type of a person who calls a spade a spade.",N5 kanji
そうかと言って,<b>Reading:</b> そうかといって<br><br><b>Meanings:</b><br>1. (conjunction) but still; however; and yet; nevertheless; for all that,N5 kanji
その上で,"<b>Reading:</b> そのうえで<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.)) moreover; in addition",N5 kanji
その後,"<b>Reading:</b> そのあと, そのご, そののち<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); noun (common) (futsuumeishi); adverb (fukushi)) after that; afterwards; thereafter [そのご is more formal]<br><br><b>Examples:</b><br>1. その後の話はご存じでしょう。<br>→ You know the rest of the story.",N5 kanji
その上,"<b>Reading:</b> そのうえ<br><br><b>Meanings:</b><br>1. (conjunction; noun (common) (futsuumeishi); adverb (fukushi)) in addition; furthermore<br>2. (conjunction; noun (common) (futsuumeishi); adverb (fukushi)) above (which); on top of (which)<br><br><b>Examples:</b><br>1. この本はおもしろい、その上、非常にためになる。<br>→ This book is interesting and, what is more, very instructive.<br><br>1. その上さらに５ドル払った。<br>→ I paid five dollars in addition.",N5 common kanji
高が,<b>Reading:</b> たかが<br><br><b>Meanings:</b><br>1. (adverb (fukushi)) only; merely; just; at most; no more than <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. 彼はたかが政治屋だ。<br>→ He is not any better than a politician.,N5 kanji
たくし上げる,"<b>Reading:</b> たくしあげる<br><br><b>Meanings:</b><br>1. (Ichidan verb) to roll up or pull up (sleeves, skirt, etc.)",N5 kanji
だからと言って,<b>Reading:</b> だからといって<br><br><b>Meanings:</b><br>1. (conjunction) while it may be true that; just because; nevertheless; not necessarily <i>(word usually written using kana alone)</i><br><br><b>Examples:</b><br>1. だからといって異議があるわけではない。<br>→ Not that I have any objection.,N5 kanji
些と,"<b>Reading:</b> ちっと, ちと<br><br><b>Meanings:</b><br>1. (adverb (fukushi)) a little bit <i>(word usually written using kana alone)</i><br>2. (adverb (fukushi)) a little while <i>(word usually written using kana alone)</i>",N5 kanji
小っぽけ,<b>Reading:</b> ちっぽけ<br><br><b>Meanings:</b><br>1. (adjectival nouns or quasi-adjectives (keiyodoshi)) very small; tiny; insignificant <i>(colloquial)</i><br><br><b>Examples:</b><br>1. 彼は山の中のちっぽけな町からやってきた。<br>→ He came from a tiny mountain town.,N5 kanji
つなぎ目,<b>Reading:</b> つなぎめ<br><br><b>Meanings:</b><br>1. (noun (common) (futsuumeishi)) joint; link; knot; tie-together point,N5 kanji
手こずる,<b>Reading:</b> てこずる<br><br><b>Meanings:</b><br>1. (Godan verb with 'ru' ending; intransitive verb) to have much trouble; to have a hard time; to not know how to handle<br><br><b>Examples:</b><br>1. 私はその仕事にてこずった。<br>→ I had some trouble with the work.,N5 kanji
出来るようになる,"<b>Reading:</b> できるようになる<br><br><b>Meanings:</b><br>1. (expressions (phrases, clauses, etc.); Godan verb with 'ru' ending) to become possible; to become able to (do) <i>(word usually written using kana alone)</i>",N5 kanji
